Commit_Message,Release_Notes,Pull_Request_Title,Successful_Builds_per_Day,Code_Coverage,Time_to_Resolve_Issues,Average_Time_to_Merge,Code_Complexity,Rating
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,75,8,7,8,110.14999999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,72,29,2,5,134217767.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,94,3,8,6,50.300000000000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,82,2,8,7,49.10000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,70,30,3,8,268435497.84999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,95,85,6,6,8,63.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,76,22,7,7,1048622.8499999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,74,4,7,6,45.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,84,7,10,8,77.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,84,14,4,7,4140.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,76,27,4,8,33554477.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,90,12,1,7,1067.3500000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,95,13,5,6,2097.25
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,77,20,6,6,262190.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,81,13,4,8,2094.8
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,82,10,7,5,298.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,95,15,8,6,8238.100000000002
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,91,11,6,5,556.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,86,17,7,6,32812.549999999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,86,22,5,7,1048620.65
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,80,22,2,7,1048621.9000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,79,29,10,8,134217773.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,78,12,5,5,1065.25
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,76,12,1,6,1066.25
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,95,79,29,9,5,134217774.35
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,71,10,10,5,299.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,95,13,10,5,2097.3999999999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,78,19,4,7,131116.10000000003
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,88,8,2,5,108.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,83,23,1,5,2097196.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,86,21,2,7,524331.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,78,29,7,6,134217770.25
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,73,18,6,8,65578.29999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,81,6,5,8,63.55
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,83,22,2,5,1048619.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,82,19,3,7,131113.75000000003
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,85,12,8,7,1068.0000000000002
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,80,9,6,5,175.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,79,16,1,8,16430.65
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,75,15,3,6,8233.050000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,74,24,6,5,4194347.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,79,19,2,7,131118.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,94,14,1,5,4141.749999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,79,2,4,8,47.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,95,10,4,7,303.40000000000003
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,95,20,4,5,262192.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,70,10,5,6,297.25000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,75,2,7,8,42.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,80,27,8,8,33554479.300000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,92,5,7,6,52.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,79,12,3,8,1065.55
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,87,19,10,7,131116.40000000002
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,88,9,7,8,173.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,74,24,7,7,4194349.850000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,82,9,10,6,175.49999999999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,75,19,4,8,131118.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,86,3,8,6,50.300000000000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,93,2,6,7,51.30000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,75,16,4,8,16430.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,94,10,10,7,306.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,91,16,2,5,16427.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,87,6,6,7,60.60000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,95,4,1,6,48.55
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,78,15,6,8,8236.199999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,94,13,4,5,2094.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,84,24,4,8,4194350.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,82,3,2,7,45.400000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,74,12,4,5,1064.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,71,16,1,7,16426.550000000003
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,93,22,2,7,1048620.0999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,86,17,9,5,32811.149999999994
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,78,2,2,8,47.599999999999994
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,73,15,1,7,8236.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,92,12,10,5,1070.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,89,5,2,5,55.499999999999986
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,84,22,3,7,1048620.8499999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,84,12,9,5,1072.85
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,71,19,7,8,131113.05
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,89,18,2,7,65583.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,89,29,5,5,134217774.25
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,81,13,1,7,2094.0499999999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,74,27,2,8,33554474.199999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,71,13,2,5,2092.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,79,8,9,8,107.05
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,92,8,7,5,108.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,89,16,5,6,16433.05
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,86,13,1,7,2092.5499999999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,72,5,1,5,51.150000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,94,12,6,7,1070.7000000000003
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,93,17,8,6,32813.49999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,86,9,4,7,174.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,76,13,10,6,2094.2999999999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,79,19,10,7,131114.80000000002
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,89,5,8,8,54.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,81,17,3,7,32811.04999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,94,14,5,7,4145.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,72,7,5,8,75.35
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,93,29,8,8,134217778.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,86,10,8,5,302.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,85,9,5,8,174.05
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,74,20,1,7,262185.65
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,95,29,9,5,134217775.74999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,82,27,8,5,33554480.300000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,89,7,2,7,78.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,70,26,6,7,16777259.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,74,12,6,5,1069.8000000000002
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,83,26,8,8,16777260.599999998
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,73,19,1,6,131113.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,88,4,1,5,51.550000000000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,84,5,8,7,51.80000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,74,6,2,7,58.10000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,78,1,1,6,47.05
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,89,23,7,6,2097198.0500000003
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,95,15,8,8,8239.900000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,73,17,8,8,32809.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,82,12,8,6,1070.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,78,25,2,8,8388652.200000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,89,15,6,5,8238.4
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,91,1,3,5,48.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,86,26,2,7,16777261.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,73,3,4,6,46.800000000000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,89,23,9,6,2097196.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,88,6,2,8,64.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,80,10,10,6,298.50000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,70,17,5,8,32808.85
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,92,14,5,5,4145.849999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,82,24,5,5,4194346.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,75,15,10,8,8239.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,84,21,3,5,524333.2499999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,70,1,6,7,43.00000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,89,30,2,5,268435500.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,90,23,4,5,2097195.9000000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,95,28,6,6,67108908.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,78,23,7,5,2097196.35
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,83,7,4,7,79.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,87,20,4,5,262187.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,80,26,10,7,16777262.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,87,16,8,7,16430.500000000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,86,29,4,8,134217774.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,80,9,10,5,173.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,82,28,4,5,67108911.29999998
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,78,15,8,7,8235.500000000002
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,89,11,4,6,556.4000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,76,30,6,6,268435497.8
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,95,83,27,6,8,33554478.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,70,22,1,8,1048615.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,92,24,7,5,4194352.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,78,21,8,8,524329.7999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,73,6,6,6,59.900000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,75,21,4,8,524328.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,92,28,10,6,67108909.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,72,19,7,5,131113.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,83,20,4,8,262192.0999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,71,26,3,7,16777255.549999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,73,1,6,6,41.00000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,90,1,5,5,49.650000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,94,11,3,5,557.1500000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,91,15,10,6,8240.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,78,20,2,5,262187.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,88,6,8,7,65.4
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,87,28,2,6,67108911.49999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,70,18,3,6,65578.85
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,82,2,10,8,49.900000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,88,10,9,8,301.95000000000005
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,82,1,5,6,47.150000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,90,25,2,5,8388654.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,84,23,5,5,2097196.35
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,84,6,9,8,59.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,88,8,9,6,112.85
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,85,12,5,5,1068.25
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,94,4,7,5,54.55
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,92,10,5,5,304.65
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,72,24,4,7,4194347.8
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,74,1,4,7,44.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,93,20,4,5,262187.89999999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,95,5,6,8,58.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,74,24,9,6,4194348.55
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,94,4,1,8,49.05
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,89,9,4,5,175.79999999999998
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,84,17,3,5,32815.049999999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,95,23,2,8,2097196.1999999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,89,9,7,7,175.55
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,87,16,2,8,16427.499999999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,92,6,8,7,61.70000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,80,11,10,7,557.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,76,21,5,6,524334.1499999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,74,29,10,6,134217773.79999998
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,90,1,3,6,47.650000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,88,8,5,6,111.35
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,77,30,4,8,268435497.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,88,20,8,6,262188.8
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,88,2,4,7,45.90000000000002
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,79,14,8,5,4140.4
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,74,14,8,5,4137.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,78,22,7,5,1048617.65
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,94,8,5,8,113.85
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,82,17,2,6,32809.799999999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,77,5,5,8,50.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,93,20,2,7,262193.8
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,79,21,4,7,524330.7999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,72,25,2,6,8388652.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,92,24,5,6,4194349.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,86,24,4,6,4194348.699999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,74,18,9,8,65579.25
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,73,20,3,7,262184.25000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,88,25,1,8,8388651.65
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,83,13,10,7,2092.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,91,1,9,6,50.550000000000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,75,28,10,7,67108906.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,80,8,5,5,107.25
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,89,8,1,7,108.65
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,84,9,8,7,175.09999999999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,72,16,2,8,16424.899999999998
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,77,16,4,5,16429.699999999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,95,94,11,3,6,560.5500000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,74,2,5,6,47.35
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,79,26,10,8,16777261.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,93,16,6,8,16429.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,93,29,9,5,134217773.85
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,89,12,9,5,1070.55
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,70,15,9,6,8236.250000000002
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,73,17,10,8,32809.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,78,6,1,5,60.05000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,87,25,4,6,8388652.299999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,84,24,10,6,4194349.699999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,94,15,2,8,8238.699999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,86,12,1,8,1067.8500000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,89,22,8,6,1048625.8
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,76,8,10,6,107.30000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,74,30,5,6,268435496.65000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,95,23,2,5,2097196.8
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,88,29,6,7,134217775.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,76,13,9,5,2092.2499999999995
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,88,24,2,8,4194350.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,87,12,3,8,1068.85
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,90,11,1,7,558.5500000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,87,20,6,7,262189.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,95,13,1,5,2094.15
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,88,10,9,7,302.55
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,83,14,2,6,4141.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,83,27,10,6,33554476.900000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,78,4,4,6,46.80000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,89,24,1,7,4194348.350000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,79,4,7,7,51.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,91,28,3,7,67108908.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,80,27,7,5,33554475.85
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,87,25,8,8,8388656.399999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,71,17,3,6,32812.24999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,73,11,3,8,556.85
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,79,24,5,5,4194346.15
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,92,22,3,6,1048624.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,74,20,2,5,262183.8
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,94,28,4,5,67108911.89999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,80,9,1,7,169.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,71,18,9,8,65577.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,95,11,3,6,561.3500000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,74,6,8,7,58.10000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,75,20,1,6,262188.05
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,74,11,10,6,558.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,85,15,5,7,8236.150000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,86,5,8,6,52.400000000000006
